id,label
2345,0.9974
170,0.0017
5378,0.9974
11242,0.9974
3465,0.0017
3776,0.0023761645
12122,0.9974
1879,0.0017
5652,0.0017
6553,0.0017
12074,0.9974
5683,0.0017
6984,0.9974
438,0.9974
8880,0.9974
4991,0.0017
8223,0.9974
6882,0.0017
4853,0.0017
5461,0.0017
10226,0.0017
10768,0.9974
2257,0.0017
2768,0.9974
5903,0.0017
6265,0.9974
3019,0.9974
2853,0.0017
6531,0.0017
11652,0.0017
1886,0.9974
1183,0.9974
7737,0.9974
12016,0.0017
9135,0.9974
5031,0.9974
7765,0.9974
5000,0.9974
12177,0.9974
4714,0.9974
4365,0.0017
968,0.9974
6713,0.0017
9687,0.9974
8445,0.9974
5991,0.0017
5824,0.9974
10775,0.0017
7658,0.9974
11958,0.9974
6775,0.9974
5303,0.0017
11245,0.0017
6497,0.9974
8860,0.9974
4866,0.9974
12215,0.0017
10179,0.9974
1024,0.0017
3634,0.9974
8886,0.0017
10212,0.0017
4375,0.9974
5673,0.0017
234,0.0017
2045,0.9974
5403,0.9974
10177,0.9973913
9466,0.0017
1299,0.0017
4953,0.9974
10633,0.9974
10332,0.9974
458,0.0017
1556,0.0017
11941,0.9974
7370,0.9974
12253,0.9974
7312,0.0017
11223,0.0017
8317,0.0017
11885,0.0017
10849,0.0017
4177,0.9974
10424,0.0017
7004,0.0017
2210,0.9974
10382,0.0017
10374,0.9974
4505,0.0017
7893,0.9974
11300,0.9974
8944,0.9974
3099,0.9974
6107,0.9974
4394,0.0017
10722,0.0017
6710,0.9974
8529,0.0017
1885,0.0017
8913,0.9974
10224,0.0017
10389,0.0017
12203,0.0017
8969,0.9974
2784,0.0017
11330,0.0017
5756,0.9974
7259,0.9974
9891,0.9974
580,0.0017
12232,0.9974
2327,0.9974
8738,0.9974
510,0.9974
5569,0.0017
8853,0.0017
11602,0.9974
2478,0.9974
8739,0.9561566
3814,0.9974
7080,0.9974
7736,0.9974
4475,0.0017
930,0.9974
12034,0.0017
2351,0.9974
7318,0.0017
10444,0.9974
1514,0.0017
4252,0.9968491
7511,0.0017
1701,0.9974
287,0.0017
8446,0.0017
87,0.9974
10766,0.9974
6575,0.0017
1999,0.0017
6350,0.0017
7948,0.0017
11026,0.0017
8039,0.0017
5841,0.0017
6267,0.0017
7279,0.9974
10761,0.0017
10161,0.0017
5618,0.9974
2487,0.9974
7343,0.9974
6864,0.0017
12273,0.9974
1460,0.99257165
1200,0.9974
6173,0.0017
1921,0.0017
404,0.0017
947,0.0017
10247,0.9974
9125,0.0017
2135,0.9974
10794,0.9974
6175,0.9974
11014,0.9974
1575,0.9974
9548,0.9974
5640,0.9974
5202,0.0017
8367,0.0017
8221,0.9974
2767,0.9974
584,0.0017
6717,0.0017
11649,0.9974
8917,0.0017
6051,0.9974
2493,0.0017
1017,0.0017
10141,0.9974
7600,0.9974
2383,0.9974
10503,0.0017
9746,0.0017
7134,0.9974
3642,0.9962256
617,0.9974
1347,0.0017
7365,0.9974
10086,0.9974
8731,0.34052902
11875,0.0017
11827,0.9974
10804,0.9974
4226,0.0017
11618,0.0017
11473,0.9974
629,0.9951132
11701,0.0017
3611,0.0017
11772,0.0017
4134,0.0017
2155,0.9868782
11269,0.9974
167,0.9974
3494,0.9974
9906,0.0017
7833,0.0017
12043,0.0017
6782,0.0017
8435,0.0017
4307,0.9974
5515,0.9974
8666,0.9974
10050,0.0017
3467,0.9974
9163,0.0017
1141,0.0017
11099,0.0017
4296,0.0017
3803,0.9902715
9162,0.9974
5935,0.9974
6193,0.9974
10742,0.99722636
12044,0.0017
5445,0.0017
6904,0.0017
11798,0.0017
2390,0.0017
890,0.9974
11869,0.9974
9849,0.9974
5176,0.9974
8783,0.0017
5369,0.9974
12347,0.0017
3061,0.9974
7432,0.0017
8794,0.9947009
10701,0.9974
11758,0.9974
10330,0.0017
12467,0.0017
7304,0.0017
5145,0.9974
1344,0.0017
4925,0.0017
4892,0.0017
2224,0.0017
5928,0.9974
9830,0.9974
2560,0.9974
4347,0.996383
4964,0.0017
6263,0.0017
6227,0.0017
5595,0.0017
4318,0.0017
7931,0.0017
11260,0.0017
5940,0.0017
8330,0.0017
8920,0.9974
10449,0.9974
4587,0.0017
6649,0.9974
7173,0.0017
3583,0.0017
2320,0.9974
3117,0.9974
12147,0.9974
1419,0.0017
12134,0.016956665
11011,0.9974
11401,0.0017
3874,0.9974
1111,0.0017
10871,0.0017
6955,0.9974
2309,0.0017
1826,0.0017
11420,0.9963833
3055,0.0017
2443,0.0017
10896,0.9974
7516,0.9974
6770,0.0017
11917,0.9974
10180,0.0017
7571,0.0017
5839,0.9974
4512,0.9974
10711,0.0017
4732,0.9974
2708,0.0017
5716,0.0017
11855,0.9974
12228,0.99720335
10691,0.0017
9971,0.0017
9237,0.0017
12442,0.0017
4791,0.9848951
7376,0.0017
11781,0.9974
